LOGFZI,FZI,CGR,DRHO,DT5,GR,HNPO,LLD,LLHR,LLS,MRES,MSFC,NPHI,NPOR,POTA,RHOB,SP,THOR,URAN
3.018226761,1042.861804,16.10730578,0.033069665,81.06481898,29.82963684,0.169311622,1.086736967,1.285818385,1.021306238,0.0676,1.046796914,0.161890939,0.172877479,0.472619173,2.390792974,4.224146422,2.058711359,1.405960276
3.03173168,1075.800346,15.39481359,0.027448129,79.34246257,32.29003027,0.153879974,1.172935785,1.387477741,1.107159947,0.0676,1.056382731,0.14055568,0.152231911,0.356185292,2.406028693,4.027495076,2.356885489,1.582125739
3.030152455,1071.895517,14.62624961,0.033380512,77.56931122,33.99926181,0.13516437,1.380990551,1.568848819,1.313277756,0.0676,1.082485433,0.119795079,0.133613386,0.254574409,2.433022047,3.9375,2.580769291,1.67443563
2.979389472,953.6510077,14.16140565,0.05282088,76.92156822,33.67917118,0.106869862,1.506880565,1.68919606,1.431578595,0.0676,1.369230138,0.101305187,0.108256796,0.190333946,2.483294025,3.866012804,2.727493565,1.76447761
2.950895837,893.0912562,14.88048556,0.044976903,77.17985722,35.15609239,0.093055906,1.544090814,1.838159318,1.468328346,0.0676,1.541750919,0.092794226,0.094977165,0.186907087,2.464285564,3.804461942,2.919370604,1.87711601
2.99629457,991.504226,16.00312336,0.041197375,77.54103832,39.6037105,0.096067717,1.556905774,1.939911286,1.487285039,0.0676,1.668719423,0.091849344,0.095331496,0.20852126,2.46192336,3.767552493,3.108878478,1.949281365
2.92045128,832.6285158,23.44518201,0.032628102,78.09641261,55.3539388,0.109350821,1.50928654,1.696800591,1.454052594,0.0676,1.632523506,0.097402364,0.106812147,0.43727065,2.447025345,3.60571241,4.018014839,2.219000394
2.997729855,994.7864353,48.71109645,0.010737032,79.86933618,93.10915955,0.115259619,1.560584701,1.621559554,1.532609127,0.067516152,1.362615167,0.102973211,0.110034209,1.284490414,2.481685358,3.119952397,6.816204202,2.993602561
3.038223835,1092.003008,87.26598504,0.000413386,80.8268189,125.992126,0.138815748,2.005547244,1.676533858,1.944183465,0.0677,1.804740945,0.15328189,0.138172441,2.577410236,2.567702362,2.816437008,11.08587402,4.100025984
1.187758751,15.40844281,120.7593463,0.031720708,81.18857045,138.5811763,0.288467497,5.5763654,10.84578663,5.123472149,0.067630996,13.55705708,0.249680472,0.28735059,3.624512713,2.669242464,2.053735256,15.10477693,4.922523984
1.015278878,10.35807086,121.3867302,0.036918373,81.07016293,135.972605,0.281733202,7.760435433,11.45672159,7.217884383,0.067647703,13.15427034,0.252350525,0.278738451,3.616657808,2.662071325,1.69898294,15.29188668,4.904940551
0.889936175,7.761330451,119.8635429,0.04175128,81.24176251,129.848695,0.26614977,8.173126986,11.18614636,7.775936113,0.067666973,12.02669435,0.24551937,0.259179908,3.541896192,2.649176165,1.478783651,15.21966139,4.846729153
1.050320891,11.22847796,113.5097517,0.056775575,81.9516023,108.464913,0.237032239,5.971049508,9.744675575,5.859400328,0.0676,8.116861129,0.238697308,0.23716021,3.311613854,2.638091464,1.441849967,14.58628516,4.637712738
